"","level","new_taxa","term","df","sumsq","meansq","statistic","p.value"
"1","phylum","Actinobacteria","treatment",5,2629.83893478248,525.967786956497,2.77423170118418,0.0297222859612062
"2","phylum","Bacteroidetes","treatment",5,385777.759794807,77155.5519589615,1.40627399563534,0.241725136892225
"3","phylum","Chloroflexi","treatment",5,21.5059572200167,4.30119144400333,0.300853153004525,0.909596700477908
"4","phylum","Cyanobacteria","treatment",5,832.6823110624,166.53646221248,0.347579501111116,0.880907811064463
"5","phylum","Deinococcus-Thermus","treatment",5,0.700261372510415,0.140052274502083,0.538655418626574,0.745821318875404
"6","phylum","Elusimicrobia","treatment",5,21.4690722936354,4.29381445872708,0.565188529391356,0.726056737355725
"7","phylum","Epsilonbacteraeota","treatment",5,143.878187530994,28.7756375061988,2.65294261386411,0.0358399039321598
"8","phylum","Euryarchaeota","treatment",5,5425.47463832594,1085.09492766519,1.50287523769175,0.209499513268264
"9","phylum","Fibrobacteres","treatment",5,723.981208006267,144.796241601253,0.778557048780219,0.570768570294313
"10","phylum","Firmicutes","treatment",5,1495817.6652865,299163.533057299,3.3639922784139,0.0120641495401721
"11","phylum","Fusobacteria","treatment",5,1429.16624019306,285.833248038612,0.450813484599836,0.810270231144025
"12","phylum","Kiritimatiellaeota","treatment",5,1520.75167541789,304.150335083577,0.326327784298807,0.894276321508686
"13","phylum","Lentisphaerae","treatment",5,724.469090128441,144.893818025688,1.07103383942072,0.390084844552779
"14","phylum","Patescibacteria","treatment",5,616.852226447716,123.370445289543,3.06907573605228,0.0188986860989729
"15","phylum","Planctomycetes","treatment",5,50.9496172414105,10.1899234482821,2.2091059011719,0.0712316934166631
"16","phylum","Proteobacteria","treatment",5,59155.3718184017,11831.0743636803,1.59032917702903,0.183790837989652
"17","phylum","Spirochaetes","treatment",5,3976.7939310878,795.358786217561,0.454117560066103,0.807894530305534
"18","phylum","Synergistetes","treatment",5,995.057779645585,199.011555929117,2.82618635986291,0.02743621448076
"19","phylum","Tenericutes","treatment",5,1032.09048963409,206.418097926817,0.89808603519958,0.491300695449518
"20","phylum","Verrucomicrobia","treatment",5,9.50098315376668,1.90019663075334,0.647787639285648,0.66467154492396
"21","phylum","WPS-2","treatment",5,0.345295147141666,0.0690590294283332,0.842259676646445,0.527524901899687
"22","class","Actinobacteria","treatment",5,160.1679928297,32.03359856594,0.670011160511816,0.648336665000766
"23","class","Alphaproteobacteria","treatment",5,223.80359866551,44.7607197331021,0.34440183189798,0.882938139939167
"24","class","Anaerolineae","treatment",5,13.4541046233187,2.69082092466375,0.243835720669295,0.940580971321007
"25","class","Bacilli","treatment",5,40186.7084724886,8037.34169449771,0.988828647150728,0.436060312664726
"26","class","Bacteroidia","treatment",5,385777.759794807,77155.5519589615,1.40627399563534,0.241725136892225
"27","class","Campylobacteria","treatment",5,143.878187530994,28.7756375061988,2.65294261386411,0.0358399039321598
"28","class","Chloroflexia","treatment",5,3.24981513096041,0.649963026192082,0.852052876247375,0.521052734502806
"29","class","Clostridia","treatment",5,876747.205214634,175349.441042927,2.63886526568015,0.036627920864632
"30","class","Coriobacteriia","treatment",5,2786.83284721793,557.366569443587,2.91936909799669,0.0237733575819374
"31","class","Deinococci","treatment",5,0.700261372510415,0.140052274502083,0.538655418626574,0.745821318875404
"32","class","Deltaproteobacteria","treatment",5,537.881775535317,107.576355107063,1.68273468161904,0.159857351943285
"33","class","Elusimicrobia","treatment",5,21.4690722936354,4.29381445872708,0.565188529391356,0.726056737355725
"34","class","Erysipelotrichia","treatment",5,4208.20628218897,841.641256437794,1.64890226589935,0.168256429812529
"35","class","Fibrobacteria","treatment",5,723.981208006267,144.796241601253,0.778557048780219,0.570768570294313
"36","class","Fusobacteriia","treatment",5,1429.16624019306,285.833248038612,0.450813484599836,0.810270231144025
"37","class","Gammaproteobacteria","treatment",5,46493.9066158546,9298.78132317093,1.33423019128783,0.268609248319832
"38","class","Gracilibacteria","treatment",5,3.9006208334,0.780124166680001,0.882133991631282,0.501483376219005
"39","class","Kiritimatiellae","treatment",5,1520.75167541789,304.150335083577,0.326327784298807,0.894276321508686
"40","class","Lentisphaeria","treatment",5,606.279955916367,121.255991183273,1.81827121282345,0.130049074343872
"41","class","Melainabacteria","treatment",5,808.233307001236,161.646661400247,0.342370745505972,0.884230264970484
"42","class","Methanobacteria","treatment",5,3942.50105350083,788.500210700166,1.94987851350545,0.106277910445841
"43","class","Methanomicrobia","treatment",5,0.758382982191668,0.151676596438334,1.05637858888747,0.397994568982675
"44","class","Mollicutes","treatment",5,1032.09048963409,206.418097926817,0.89808603519958,0.491300695449518
"45","class","Negativicutes","treatment",5,8927.18483030483,1785.43696606097,1.19472176888829,0.328237728128369
"46","class","Oligosphaeria","treatment",5,14.037638224975,2.807527644995,0.171497314497571,0.971743848479982
"47","class","Oxyphotobacteria","treatment",5,46.0003809541104,9.20007619082208,1.10163346611354,0.373969984885969
"48","class","Planctomycetacia","treatment",5,50.9496172414105,10.1899234482821,2.2091059011719,0.0712316934166631
"49","class","Saccharimonadia","treatment",5,578.039853832066,115.607970766413,2.99535866824394,0.0211568648869583
"50","class","Spirochaetia","treatment",5,3976.7939310878,795.358786217561,0.454117560066103,0.807894530305534
"51","class","Synergistia","treatment",5,995.057779645585,199.011555929117,2.82618635986291,0.02743621448076
"52","class","Thermoplasmata","treatment",5,247.967254745435,49.5934509490869,0.315066409092586,0.90114908775231
"53","class","uncultured rumen bacterium","treatment",5,0.345295147141666,0.0690590294283332,0.842259676646445,0.527524901899687
