timepoint,treatment,med
0,Control,3.29855277733568
0,Treated,3.17429776733749
8,Control,3.40707682675298
8,Treated,3.15026029073306
21,Control,2.69591125357892
21,Treated,2.79440537518489
28,Control,3.38457239616102
28,Treated,3.04758774475534
